FORMNO,CTRLID,DATATYPE,GROUPNO,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48,VAL49,VAL50,VAL51,VAL52,VAL53,VAL54,VAL55,VAL56,VAL57,VAL58,VAL59,VAL60,VAL61,VAL62,VAL63,VAL64,VAL65,VAL66,VAL67,VAL68,VAL69,VAL70,VAL71,VAL72,VAL73,VAL74,VAL75,VAL76,VAL77,VAL78,VAL79,VAL80,VAL81,VAL82,VAL83,VAL84,VAL85,VAL86,VAL87,VAL88,VAL89,VAL90,VAL91,VAL92,VAL93,VAL94,VAL95,VAL96,VAL97,VAL98,VAL99,VAL100,VAL101,VAL102,VAL103,VAL104,VAL105,VAL106,VAL107,VAL108,VAL109,VAL110,VAL111,VAL112,VAL113,VAL114,VAL115,VAL116,VAL117,VAL118,VAL119,VAL120,VAL121,VAL122,VAL123,VAL124,VAL125,VAL126,VAL127,VAL128,VAL129,VAL130,VAL131,VAL132,VAL133,VAL134,VAL135,VAL136,VAL137,VAL138,VAL139,VAL140,VAL141,VAL142,VAL143,VAL144,VAL145,VAL146,VAL147,VAL148,VAL149,VAL150,VAL151,VAL152,VAL153,VAL154,VAL155,VAL156,VAL157,VAL158,VAL159,VAL160,VAL161,VAL162,VAL163,VAL164,VAL165,VAL166,VAL167,VAL168,VAL169,VAL170,VAL171,VAL172,VAL173,VAL174,VAL175,VAL176,VAL177,VAL178,VAL179,VAL180,VAL181,VAL182,VAL183,VAL184,VAL185,VAL186,VAL187,VAL188,VAL189,VAL190,VAL191,VAL192,VAL193,VAL194,VAL195,VAL196,VAL197,VAL198,VAL199,VAL200
1,Detail_Inventory_Info,0,1,7L-1-1,2020/04/13,20200413-01,新品,120円,10本,,,,,30本,"10,650円",1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Detail_Inventory_Info,0,2,7L-1-2,2020/04/10,20200410-01,新品,120円,10本,,,,,30本,"10,650円",1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Detail_Inventory_Info,0,2,7L-1-2,2020/04/11,20200411-01,新品,120円,10本,,,,,30本,"10,650円",1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Detail_Inventory_Info,0,3,7L-1-3,2020/07/01,20200701-03,新品,140円,20本,,,,,40本,"10,650円",1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Detail_Inventory_Info,0,3,7L-1-3,2020/07/02,20200702-03,新品,140円,20本,,,,,40本,"10,650円",1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Detail_Inventory_Info,0,3,7L-1-3,2020/07/03,20200703-03,新品,140円,20本,,,,,40本,"10,650円",1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Detail_Lot_Info,0,1,20200410-01,7L-1-1,2020/04/10,新品,120円,10本,,,,,30本,"10,650円",1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Detail_Lot_Info,0,1,20200410-01,7L-1-2,2020/04/10,新品,120円,10本,,,,,30本,"10,650円",1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Detail_Lot_Info,0,1,20200410-01,7L-1-3,2020/04/10,新品,120円,10本,,,,,30本,"10,650円",1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Detail_Lot_Info,0,1,20200410-01,7L-1-4,2020/04/10,新品,120円,10本,,,,,30本,"10,650円",1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Detail_Lot_Info,0,2,20200411-02,7L-1-1,2020/04/11,新品,120円,10本,,,,,30本,"10,650円",1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Detail_Lot_Info,0,2,20200411-02,7L-1-2,2020/04/11,新品,120円,10本,,,,,30本,"10,650円",1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Detail_Lot_Info,0,3,20200702-03,7L-1-1,2020/07/02,新品,140円,20本,,,,,40本,"10,650円",1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Detail_Lot_Info,0,3,20200702-03,7L-1-2,2020/07/02,新品,140円,20本,,,,,40本,"10,650円",1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Detail_Lot_Info,0,3,20200702-03,7L-1-3,2020/07/02,新品,140円,20本,,,,,40本,"10,650円",1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Detail_InOut_History,0,0,繰越,2020/04/01,20200105-09,新品,10本,100円,"1,000円",,,10本,"1,000円",1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
