FORMNO,CTRLID,DATATYPE,GROUPNO,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48,VAL49,VAL50,VAL51,VAL52,VAL53,VAL54,VAL55,VAL56,VAL57,VAL58,VAL59,VAL60,VAL61,VAL62,VAL63,VAL64,VAL65,VAL66,VAL67,VAL68,VAL69,VAL70,VAL71,VAL72,VAL73,VAL74,VAL75,VAL76,VAL77,VAL78,VAL79,VAL80,VAL81,VAL82,VAL83,VAL84,VAL85,VAL86,VAL87,VAL88,VAL89,VAL90,VAL91,VAL92,VAL93,VAL94,VAL95,VAL96,VAL97,VAL98,VAL99,VAL100,VAL101,VAL102,VAL103,VAL104,VAL105,VAL106,VAL107,VAL108,VAL109,VAL110,VAL111,VAL112,VAL113,VAL114,VAL115,VAL116,VAL117,VAL118,VAL119,VAL120,VAL121,VAL122,VAL123,VAL124,VAL125,VAL126,VAL127,VAL128,VAL129,VAL130,VAL131,VAL132,VAL133,VAL134,VAL135,VAL136,VAL137,VAL138,VAL139,VAL140,VAL141,VAL142,VAL143,VAL144,VAL145,VAL146,VAL147,VAL148,VAL149,VAL150,VAL151,VAL152,VAL153,VAL154,VAL155,VAL156,VAL157,VAL158,VAL159,VAL160,VAL161,VAL162,VAL163,VAL164,VAL165,VAL166,VAL167,VAL168,VAL169,VAL170,VAL171,VAL172,VAL173,VAL174,VAL175,VAL176,VAL177,VAL178,VAL179,VAL180,VAL181,VAL182,VAL183,VAL184,VAL185,VAL186,VAL187,VAL188,VAL189,VAL190,VAL191,VAL192,VAL193,VAL194,VAL195,VAL196,VAL197,VAL198,VAL199,VAL200
0,LongPlanList,0,0,000C-446リサイクルファンA定期整備,0001521A脱水液抜出しﾎﾟﾝﾌﾟ定期整備,1,1,1,2,1,2,2,1,2,2,01E-910,910ﾎﾞｲﾗｰ,長計グループA,2021/1/11,DEMOユーザ,長計A,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,297反応ﾄﾞﾗﾑ開放検査,0002C-446リサイクルファンB定期整備,1,1,2,2,1,,2,2,2,2,01E-911,911ﾎﾞｲﾗｰ,長計グループA,2021/1/12,DEMOユーザ,長計B,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,256後段反応熱回収熱交開放検査,,1,1,2,1,1,1,2,2,,1,01E-912,912ﾎﾞｲﾗｰ,長計グループA,2021/1/13,DEMOユーザ,長計A,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,299反応ﾄﾞﾗﾑ開放検査,0001521A脱水液抜出しﾎﾟﾝﾌﾟ定期整備,1,1,2,2,2,1,1,1,,,01E-913,913ﾎﾞｲﾗｰ,長計グループA,2021/1/14,DEMOユーザ,長計B,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,256後段反応熱回収熱交開放検査,0002C-446リサイクルファンB定期整備,1,1,1,2,2,1,1,2,,,01E-914,914ﾎﾞｲﾗｰ,長計グループA,2021/1/15,DEMOユーザ,長計A,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,1,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,301反応ﾄﾞﾗﾑ開放検査,,1,1,1,,2,1,1,2,,2,01E-915,915ﾎﾞｲﾗｰ,長計グループA,2021/1/16,DEMOユーザ,長計B,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,256後段反応熱回収熱交開放検査,291反応ﾄﾞﾗﾑ開放検査,1,2,2,,2,1,1,2,,2,01E-916,916ﾎﾞｲﾗｰ,長計グループA,2021/1/17,DEMOユーザ,長計A,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,303反応ﾄﾞﾗﾑ開放検査,292反応ﾄﾞﾗﾑ開放検査,1,2,2,1,,1,2,2,2,1,01E-917,917ﾎﾞｲﾗｰ,長計グループA,2021/1/18,DEMOユーザ,長計B,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,304反応ﾄﾞﾗﾑ開放検査,,1,2,2,2,,1,,2,2,2,01E-918,918ﾎﾞｲﾗｰ,長計グループA,2021/1/19,DEMOユーザ,長計A,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,000132A脱水塔頂循環ﾎﾟﾝﾌﾟ1定期整備,,1,2,1,2,,1,,2,1,,01E-919,919ﾎﾞｲﾗｰ,長計グループA,2021/1/20,DEMOユーザ,長計B,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,306反応ﾄﾞﾗﾑ開放検査,,1,2,2,1,,,,1,2,2,01E-920,920ﾎﾞｲﾗｰ,長計グループA,2021/1/21,DEMOユーザ,長計A,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,000132A脱水塔頂循環ﾎﾟﾝﾌﾟ1定期整備,,1,2,2,2,2,,2,2,,2,01E-921,921ﾎﾞｲﾗｰ,長計グループA,2021/1/22,DEMOユーザ,長計B,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,308反応ﾄﾞﾗﾑ開放検査,,1,2,2,2,,2,1,2,,1,01E-922,922ﾎﾞｲﾗｰ,長計グループA,2021/1/23,DEMOユーザ,長計A,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,256後段反応熱回収熱交開放検査,291反応ﾄﾞﾗﾑ開放検査,1,1,2,,,,2,1,,2,01E-923,923ﾎﾞｲﾗｰ,長計グループA,2021/1/24,DEMOユーザ,長計B,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,310反応ﾄﾞﾗﾑ開放検査,292反応ﾄﾞﾗﾑ開放検査,1,2,1,,2,,2,2,,,01E-924,924ﾎﾞｲﾗｰ,長計グループA,2021/1/25,DEMOユーザ,長計A,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,1,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,311反応ﾄﾞﾗﾑ開放検査,,1,1,2,,,,2,2,2,,01E-925,925ﾎﾞｲﾗｰ,長計グループA,2021/1/26,DEMOユーザ,長計B,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,256後段反応熱回収熱交開放検査,,1,2,2,,,,2,2,2,2,01E-926,926ﾎﾞｲﾗｰ,長計グループA,2021/1/27,DEMOユーザ,長計A,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,103SA吸収塔開放検査,291反応ﾄﾞﾗﾑ開放検査,1,2,2,,,1,2,2,1,2,01E-927,927ﾎﾞｲﾗｰ,長計グループA,2021/1/28,DEMOユーザ,長計B,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,314反応ﾄﾞﾗﾑ開放検査,292反応ﾄﾞﾗﾑ開放検査,1,1,2,,,2,,2,2,1,01E-928,928ﾎﾞｲﾗｰ,長計グループA,2021/1/29,DEMOユーザ,長計A,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,103SA吸収塔開放検査,,1,1,1,,,,,2,,2,01E-929,929ﾎﾞｲﾗｰ,長計グループA,2021/1/30,DEMOユーザ,長計B,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,1,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,316反応ﾄﾞﾗﾑ開放検査,,1,1,ＳＡプラント,,,2,2,,2,,01E-930,930ﾎﾞｲﾗｰ,長計グループA,2021/1/31,DEMOユーザ,長計A,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,317反応ﾄﾞﾗﾑ開放検査,,1,1,ＳＡプラント,,,2,2,,2,,01E-931,931ﾎﾞｲﾗｰ,長計グループA,2021/2/1,DEMOユーザ,長計B,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LongPlanDetail10,0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LongPlanDetail20,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LongPlanDetail30,0,0,1,1,BBB,CCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LongPlanDetail40,0,0,件名A,件名メモA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LongPlanDetail50,0,0,デモ件名AAA,件名メモAAAAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
